finale 	[sound:youdao-eb98c73e-add0b6bb-d50e4114-f7daf212-9852bdba.mp3]	[fɪ'nɑːlɪ; -leɪ]	n. 結局；終曲；最後一場；最後樂章；尾聲 n. (Finale)人名；(英)菲納利；(意、西)菲納萊	The Orioles rebounded to win in 10 innings on Tuesday night before coasting in the finale.			
guise 	[sound:youdao-3a0b7b8a-0f2beb5c-4a972e03-e458c7d6-770b65c2.mp3]	[gaɪz]	n. 偽裝；裝束；外觀 vt. 使化裝 vi. 偽裝 n. (Guise)人名；(葡)吉塞；(英、法)吉斯	If nothing else, he can issue the clemencies under the guise of budget cuts.			
pastel 	[sound:youdao-22defa1e-aaef1160-374d902f-0b7027ee-ab66f259.mp3]	['past(ə)l]	adj. 柔和的；彩色蠟筆的，粉蠟筆的 n. 粉蠟筆；粉蠟筆畫 n. (Pastel)人名；(法)帕斯泰爾	You'd think that cool soups, pastel-pale or jewel-bright, would be everybody's fallback food for summer.			
viral 	[sound:youdao-2c7d05ab-7eb34d28-67831f16-5cfad36b-e6a0bb8d.mp3]	['vaɪr(ə)l]	adj. 病毒性的	But AZT has a structural weakness (a flimsy phosphate) that viral enzymes can expel.			
bipolar 	[sound:youdao-58a79f71-c3257c2e-d72eefcb-be5efa81-59ecc9bd.mp3]	[baɪ'pəʊlə]	adj. 有兩極的，雙極的	However, in the vast majority of cases of bipolar disorder there would no history of flu.			
anxiously 	[sound:youdao-2c4b4c07-6f4a4ccf-d315cf1f-92ca0fd6-322a38ba.mp3]	['aŋkʃəsli]	adv. 不安地，憂慮地	Many residents waited anxiously to get word of whether their homes had been spared.			
brake 	[sound:youdao-f0b50e1e-aee3ae45-41964fc4-f2275585-f3d34260.mp3]	[breɪk]	vi. 剎車 n. 閘，剎車；阻礙 vt. 剎車 n. (Brake)人名；(英)佈雷克；(德)布拉克	The brake on this zooming locomotive called government should be the rule of law.			
menopause 	[sound:youdao-812e239b-24b58b49-441199e6-6bfd1050-013b6121.mp3]	['menəpɔːz]	n. 更年期；活動終止期	It showed a 61% decrease in heart attacks for women who took hormones after menopause.			
patch 	[sound:youdao-63b7d424-3bf095f9-82bafb6d-e9b85195-b6802d47.mp3]	[patʃ]	n. 眼罩；斑點；碎片；小塊土地 vt. 修補；解決；掩飾 vi. 打補丁 n. (Patch)人名；(英)帕奇	Who actually pitched the idea of making a national monument out of this patch?			
electrode 	[sound:youdao-649cc246-3554b5df-4aef7d82-a87e5c1c-67df572f.mp3]	[ɪ'lektrəʊd]	頑皮雷彈	Eight young women squirm under electrode-studded caps in a dark, small room in Greenwich, England.			
sparkle 	[sound:youdao-8939f461-83313c98-39d07ab3-b20b101e-31fe0436.mp3]	['spɑːk(ə)l]	n. 閃耀；火花；活力 vt. 使閃耀；使發光 vi. 閃耀；發泡；活躍	Our headlamps played tricks with colour, turning new spruce tips silver and making a lichen-shagged tree sparkle.			
stylistic 	[sound:youdao-b9c3fb4b-8532bacc-fb62bc5a-1c56be01-32995b6b.mp3]	[staɪ'lɪstɪk]	adj. 體裁上的；格式上的；文體論的	Barber's new tunes may be original — but they're also reverent to Porter's stylistic conception.			
disciplined 	[sound:youdao-0f97416c-a787a804-0ed8c050-e17b0397-f11d38a3.mp3]	['dɪsɪplɪnd]	adj. 遵守紀律的；受過訓練的 v. 使有紀律（discipline的過去分詞）；訓導	He'd return suddenly: If there were indications any of the women had moved, they'd be disciplined.			
ornate 	[sound:youdao-e38eeed7-986f4aca-510c6927-d02449d0-1ef267a1.mp3]	[ɔː'neɪt]	adj. 華麗的；裝飾的；（文體）絢麗的	The factory's latticed windows and ornate working liquor distillery make it worth the trip.			
slap 	[sound:youdao-49cddc32-0a83deaf-9bad9b71-80b514c4-78136617.mp3]	[slap]	vt. 拍擊；侮辱；掌擊；摑…的耳光 n. 摑；侮辱；掌擊；拍打聲 vi. 摑；拍擊 adv. 直接地；猛然地；恰好	It will not be a slap in the face to others traumatized by the events of that day.			
refinement 	[sound:youdao-67f69f1c-65c3fc85-5065f873-a050b358-11e8432d.mp3]	[rɪ'faɪnm(ə)nt]	n. 精製；文雅；[化工][油氣][冶] 提純	Through out the shows in Milan, it was mostly about refinement and conservative looks.			
outpatient 	[sound:youdao-472dedb0-01289853-7d2574f6-19c80dca-d53b3d67.mp3]	['aʊtpeɪʃ(ə)nt]	n. 門診病人	The patients are homebound, and have difficulty accessing outpatient care in the usual settings.			
awkwardly 	[sound:youdao-a912bbd8-dd2b6a02-8108b1a7-16634e28-c775f73a.mp3]	['ɔ:kwə:dli]	adv. 笨拙地；無技巧地	To some Canadians that seems awkwardly similar to Mr Bush's crusade to spread freedom.			
edible 	[sound:youdao-1c1af419-ecb10c29-4773ac94-e1a6b8dd-a93a3f9c.mp3]	['edɪb(ə)l]	adj. 可食用的 n. 食品；食物	We spotted the blue flash of a kingfisher, a sure sign that edible fish resided below.			
thrilling 	[sound:youdao-237741fd-2fc2b195-269776f9-725840a1-f16bf47c.mp3]	['θrɪlɪŋ]	adj. 毛骨悚然的；令人興奮的；顫動的	Further upriver, Marie leads the way in a thrilling scramble though a maze of overground caverns.			
neutralize 	[sound:youdao-2853d92e-d190a01b-61388445-aba9ddbd-62466943.mp3]	['nʊtrə'laɪz]	vt. 抵銷；使…中和；使…無效；使…中立 vi. 中和；中立化；變無效	It's tough to neutralize speed, especially when they're very good at what they do,  Bryant said.			
chute 	[sound:youdao-7bbbbcdb-ded6b04e-413346ca-ae1421da-134f6519.mp3]	[ʃuːt]	n. 瀑布；斜槽；降落傘；陡坡道 n. (Chute)人名；(法)許特；(英、西)丘特	Out of the chute he tripped on capital gains by telling you a cut wasn't needed.			
focused 	[sound:youdao-e2cd7a33-27ec0455-72e873df-2ecd29d6-2acc2c77.mp3]	['fəʊkəst]	adj. 聚焦的；專心的 v. [光][攝] 聚焦；注視（focus的過去分詞）	He was much less focused on restraining spending than I would have liked,  Greenspan said.			
skyscraper 	[sound:youdao-530ab1d6-25f0a0d4-e4850d91-7301c088-f91e65bd.mp3]	['skaɪskreɪpə]	n. 摩天樓，超高層大樓；特別高的東西	Using steel framing and high-speed elevators, they created their pinnacle achievement: the modern skyscraper.			
thunderstorm 	[sound:youdao-b8be9a07-66c5e2b2-ac38c2db-6860b77e-2ab2505b.mp3]	['θʌndəstɔːm]	n. [氣象] 雷暴；雷暴雨；大雷雨	The thunderstorm developed in an area where warm moist air rose into cooler air.			
booklet 	[sound:youdao-e2fc6606-aae0966c-07eb9388-ab3cccb0-8162196a.mp3]	['bʊklɪt]	n. 小冊子	The American Gas Association puts out a booklet listing the 1, 200 natural gas stations nationwide.			
inexperienced 	[sound:youdao-de76ad6f-b0a7108d-bd5e6e9b-522d6e8a-aea341aa.mp3]	[,ɪnɪk'spɪrɪənst]	adj. 無經驗的；不熟練的	My inexperienced soul bore it heavily, and I worry-warted my way through the trek.			
funky 	[sound:youdao-ca7bc3cd-c475eec0-ee64e35a-c40023d0-0c5cd497.mp3]	['fʌŋkɪ]	adj. 時髦的；畏縮的；惡臭的	Another newcomer fast gaining a stellar reputation is the funky, retro-styled Gilt Lounge.			
hum 	[sound:youdao-0f8c3e52-9e7636a6-231d8009-f7142f9c-823813a4.mp3]	[hʌm]	vi. 發低哼聲 vt. 用哼聲表示 n. 嗡嗡聲；哼聲；雜聲 int. 哼；嗯 n. (Hum)人名；(匈、塞、英)胡姆；(東南亞國家華語)湛	The hum of improvised conversation, the rustling of newspapers turning, the clinking of cutlery.			
schoolteacher 	[sound:youdao-fba92a79-c72383a8-07db3d7e-b4d1af66-bc5757d8.mp3]	['skuːltiːtʃə]	n. 教師	Mayawati, a schoolteacher turned politician, is India's best-known leader of Dalit, or low-caste, groups.			
pronouncement 	[sound:youdao-8686a599-774fe0a3-cce35b6e-d8baa296-95c20de7.mp3]	[prə'naʊnsm(ə)nt]	n. 聲明；宣告；公告；判決	He later eased the pronouncement, saying Winters can return to the country but must face questioning.			
miss 	[sound:youdao-309719af-d3f22942-5e9ed9c4-1107d8d6-913a5823.mp3]	[mɪs]	n. 女士，小姐，年輕未婚女子 vt. 錯過，想念，缺（勤）	That makes both partners more likely to miss subtle changes in one another's expression or tone.			
Yugoslav 	[sound:youdao-e26d293a-5fee89ec-90ae7a8c-3757f572-958b83d7.mp3]	['ju:ɡəuslɑ:v]	adj. 南斯拉夫的；南斯拉夫人的 n. 南斯拉夫人	Yugoslav international defender Nisa Saveljic has been detained by Serbian police for allegedly avoiding military service.			
theorize 	[sound:youdao-028464b6-875c4ddf-0d8a570c-450b504b-367d39ff.mp3]	['θɪəraɪz]	vi. 建立理論或學說；推理 vt. 建立理論	They theorize that the extra supply of money makes money itself worth less in gold terms.			
erratic 	[sound:youdao-87a5cc0d-4ab58199-fd8fa29a-080202f1-4e57fcca.mp3]	[ɪ'ratɪk]	adj. 不穩定的；古怪的 n. 漂泊無定的人；古怪的人	But this office has itself been bedeviled by favoritism, erratic coverage of U.N. activities, under-staffing, under-funding and cover-ups.			
stronghold 	[sound:youdao-de3c6f5c-8798a141-a3a29fb9-96d63986-2999e3d1.mp3]	['strɔŋhold]	n. 要塞；大本營；中心地	On Sunday, a Hezbollah stronghold in Beirut was hit by a pair of rockets.			
expend 	[sound:youdao-be322a9b-898e520a-72792e0f-48828512-53581060.mp3]	[ɪk'spend; ek-]	vt. 花費；消耗；用光；耗盡	Greater accountability, more expeditious decision-making and improved risk-benefit balancing would expend resources more efficiently.			
resilient 	[sound:youdao-64789f18-618303ed-104d859e-bbfb3eed-08da90db.mp3]	[rɪ'zɪlɪənt]	adj. 彈回的，有彈力的 adj. 能復原的；有復原力的	And most of all, I believe deeply in the resilient spirit of this nation.			
special 	[sound:youdao-4d67f9b4-961d055f-694a1dbe-1cf46ed7-c116dfd8.mp3]	['speʃ(ə)l]	n. 特使，特派人員；特刊；特色菜；專車；特價商品 adj. 特別的；專門的，專用的	But its instruments employ special detectors that need to be chilled to fantastically low temperatures.			
Mormon 	[sound:youdao-cacca71e-c4211f73-d1516433-bddba887-d3132d51.mp3]	['mɔ:mən]	n. 摩門教徒；一夫多妻主義者 adj. 摩門教的；摩門教徒的	He is the first Mormon from a major party to contest the presidential election.			
dispel 	[sound:youdao-91616c17-cad8ac8c-dc81306b-d1dccd67-54bc0fa7.mp3]	[dɪ'spel]	vt. 驅散，驅逐；消除（煩惱等）	Like their very names, Ms Wiggins's characters never quite dispel a whiff of contrivance.			
hilarious 	[sound:youdao-863c2979-529ce893-5898300b-de525539-1d5d958f.mp3]	[hɪ'leərɪəs]	adj. 歡鬧的；非常滑稽的；喜不自禁的	Liedman and Slate star in the hilarious Bestie x Bestie comedy blog on Vimeo.			
eggplant 	[sound:youdao-f179c91d-0bba7c54-a9f2a921-bd241133-b2bae7a3.mp3]	['egplɑːnt]	n. 茄子 adj. 深紫色的	Pantelleria's caponata contains all five of the island's staples: eggplant, tomatoes, olive oil, almonds and capers.			
mother-in-law 	[sound:youdao-99ddb378-cf43a6e5-c3c2ffbe-2651402e-833cd869.mp3]	['mʌeərinlɔ:]	n. 岳母；婆母	Her mother-in-law would cry and storm off, and Ms. Brown would end up apologizing.			
redesign 	[sound:youdao-1ac2d707-365986bb-85ac1906-7d036a11-0fe7bb1b.mp3]	[riːdɪ'zaɪn]	vt. 重新設計 n. 重新設計；新設計	Wardrop also leans on his suppliers to redesign any failed components rather than simply replace them.			
airy 	[sound:youdao-900cdf9c-56acc51f-6cf32d9b-4b591100-ef4dbb45.mp3]	['eərɪ]	adj. 空氣的；通風的；幻想的；輕快的；空中的 n. (Airy)人名；(英)艾裡	Triyoga Chelsea, on the other hand, is a beautiful, clean and airy space opened by lawyer-turned-yogi Jonathan Sattin.			
revere 	[sound:youdao-5a25eea7-9dd63b33-270459d3-1cac44b7-416ee989.mp3]	[rɪ'vɪə]	vt. 敬畏；尊敬；崇敬	Even younger residents drop off-the-cuff references to figures like Paul Revere in their casual bar-room banter.			
small-town 	[sound:youdao-1688bdfb-ecf24208-fa89b6e9-20f824b2-e5650fc2.mp3]	['smɔ:l'taun]	adj. 偏狹的；小都市的；土裡土氣的	Among advertisers there's an appreciation for a magazine with a small-town flavor and a big-time reach.			
wiggle 	[sound:youdao-409303e5-51363ec0-95c31efb-aca10549-ece3feff.mp3]	['wɪg(ə)l]	vt. 使……擺動，使……扭動 vi. 擺動 n. 扭動	The signals coming from the preparatory talks, however, suggest it'll be a wiggle rather than a volte-face.			
taunt 	[sound:youdao-80184618-64a29df6-01dc382c-b70952ba-29f4f4ab.mp3]	[tɔːnt]	n. 嘲弄；譏諷 vt. 奚落；逗弄 adj. 很高的	She chose to consider this not as a taunt but as a serious question.			
syringe 	[sound:youdao-a6ddcc0b-573f2ce0-fee4be4f-6fc682f6-c792438f.mp3]	[sɪ'rɪn(d)ʒ; 'sɪ-]	vt. 注射，沖洗 n. 注射器；洗滌器	Last night, security confiscated a big syringe someone was carrying, but security can't be everywhere.			
renounce 	[sound:youdao-38411c4f-e27d9602-33c05ab3-6eef27f8-e714a541.mp3]	[rɪ'naʊns]	vt. 宣佈放棄；與…斷絕關係；墊牌 vi. 放棄權利；墊牌 n. 墊牌	Western countries are concerned by Hamas' refusal to renounce violence and recognize Israeli statehood.			
frown 	[sound:youdao-a05ff3de-4396187d-3fd89a6d-ea82d91e-fb52f897.mp3]	[fraʊn]	vi. 皺眉；不同意 vt. 皺眉，蹙額 n. 皺眉，蹙額	Participants frown upon late arrivals, and some data-obsessed engineers have even computed the costs of tardiness.			
handshake 	[sound:youdao-cda84f6e-fbaccb8c-0d8a6135-716783d8-72c2f13a.mp3]	['han(d)ʃeɪk]	n. 握手	And, reflecting the intention of Takanakuy, each fight begins and ends with a hug or a handshake.			
envelop 	[sound:youdao-e7455a27-bbfee44b-abd91149-6b4b0d4c-dcf0b55a.mp3]	[ɪn'veləp; en-]	vt. 包圍；包封；遮蓋 n. 信封；包裹	Specially-commissioned music and soundscapes envelop visitors, but despite the hi-tech gimmickry, personal details make the experience emotional and affecting.			
pointer 	[sound:youdao-68809e2a-97206247-d7fb7d0b-ce998a3f-43d149e5.mp3]	['pɒɪntə]	n. 指針；指示器；教鞭；暗示	Three Yachvili penalties edged the French side in front before Barkley sent over another three-pointer.			
emigrate 	[sound:youdao-447338d7-503790d0-81ca74db-63cdf139-2365d814.mp3]	['emɪgreɪt]	vi. 移居；移居外國 vt. 移民	The Tehran government does not put obstacles in the path of young people seeking to emigrate.			
distrust 	[sound:youdao-f743bdbf-c92264f4-18c10ba8-d4f6b67b-96f60ef4.mp3]	[dɪs'trʌst]	vt. 不信任 n. 不信任 懷疑	I have a sense of distrust of Obama,  Jarvis says, citing the controversial statements of the Rev.			
neurological 	[sound:youdao-ea8cc5bf-818a6236-74318be7-1ccf119d-59330132.mp3]	[,njʊərə'lɒdʒɪkl]	adj. 神經病學的，神經學上的	Mercury contaminates fish and, when ingested by pregnant or nursing women, can cause neurological damage.			
Shiite 	[sound:youdao-c4e64454-f95eb36c-ca7de024-85e63e2c-9f5e553f.mp3]	['ʃi:ait]	n. 什葉派教徒 adj. 什葉派的	Alwani, a Sunni, thinks the Shiite-led government is deliberately shafting Fallujah for sectarian reasons.			
arch 	[sound:youdao-5aaa3122-d1d92d6c-f7540fda-f342eb1f-d9caa034.mp3]	[ɑːtʃ]	n. 弓形，拱形；拱門 adj. 主要的 vt. 使…彎成弓形；用拱連接 vi. 拱起；成為弓形 n. (Arch)人名；(德)阿爾希；(英)阿奇	For a more adventurous meal, venture to Moyo in the Melrose Arch neighbourhood.			
squeeze 	[sound:youdao-6bf4b6f1-e170c43f-49c948f7-188b3bd6-30bfae72.mp3]	[skwiːz]	vt. 擠；緊握；勒索 vi. 壓搾 n. 壓搾；緊握；擁擠；佣金	When the earnings came out, traders rushed to buy shares to avoid a short squeeze.			
bundle 	[sound:youdao-7496eada-5680a0de-4bf0bc26-339b0f3f-d52aa8bd.mp3]	['bʌnd(ə)l]	n. 束；捆 vt. 捆 vi. 匆忙離開	If you want to save a bundle, skip the frills and do the subdivision work yourself.			
cardboard 	[sound:youdao-eb672e36-9ba2542d-a5135906-8a6c2af4-e497739f.mp3]	['kɑːdbɔːd]	n. [紙] 硬紙板；紙板箱；卡紙板 adj. 不真實的；硬紙板制的	Less experienced hikers can book a seven-day guided hike with the Cardboard Box travel shop in Windhoek.			
bribe 	[sound:youdao-efed19f0-2b0958f6-fb432db6-4cfbb280-a3d37b57.mp3]	[braɪb]	vt. 賄賂，收買 vi. 行賄 n. 賄賂 n. (Bribe)人名；(西)布裡韋	Profit is regarded as merely a bribe to get businesses to produce goods and services.			
overstate 	[sound:youdao-22e751a5-94eede7b-746495f8-8db07da2-1b1ed3f3.mp3]	[əʊvə'steɪt]	vt. 誇張；誇大的敘述	The Case-Shiller index can sometimes overstate the magnitude of price increases because it includes foreclosures.			
investing 	[sound:youdao-8cfe53f1-c3d4e749-105a32f2-4c208437-111265e0.mp3]	[ɪn'vɛst]	n. [機] 熔模鑄造 v. 投資；授與（invest的現在分詞）	We have to keep investing in the development of every available source of American-made energy.			
swath 	[sound:youdao-264bbf36-bf4d9747-31283ba7-f208f913-0b3993ae.mp3]	[swɒθ]	n. 細長的列；收割的刈痕；收割的寬度	Ariad is not the first company to try to patent a broad swath of biology.			
whichever 	[sound:youdao-6890fec8-b1339b68-1571146b-c7ed24d2-88e202f4.mp3]	[wɪtʃ'evə]	pron. 任何一個；無論哪個 adj. 無論哪個；無論哪些	Whichever system is adopted (and both might be, for different applications), two further things are needed.			
disapprove 	[sound:youdao-1d4c2e8a-90d7b03f-bc949674-b5151625-40199069.mp3]	[dɪsə'pruːv]	vt. 不贊成；不同意 vi. 不贊成；不喜歡	Demonstrators disapprove of plans to rebuild old Ottoman barracks and create a shopping arcade.			
kindly 	[sound:youdao-7a37701e-517ca04c-d7ae9b2f-c07abb66-d84c5286.mp3]	['kaɪndlɪ]	adv. 親切地；溫和地；仁慈地 adj. 親切的；和藹的；體貼的；爽快的	He never looked at me but simply exuded what felt like a kindly calm.			
tan 	[sound:youdao-f11b3f44-f9ee83a8-cceaa31a-630ff8e4-3e35329d.mp3]	[tan]	n. （日曬後皮膚的）黝黑色；棕褐色；鞣料；馬戲團 vt. 鞣（革）；曬成褐色 vi. 曬成棕褐色 adj. 黃褐色的；鞣皮的  n. (Tan)人名；(俄、土、土庫、吉爾)塔恩；(英)坦；(柬、老)丹	A project like this will give us more confidence to carry out the next project underground,  says Tan.			
yawn 	[sound:youdao-325f51d9-8f77acff-5094db6b-ba57693d-1fe13c29.mp3]	[jɔːn]	n. 哈欠；裂口 vi. 打哈欠；裂開 vt. 張開；打著哈欠說	Once you straighten your back and let out a good yawn, your body feels functional again.			
lore 	[sound:youdao-1f75e589-86981d55-e819a763-6a012d91-69e2d977.mp3]	[lɔː]	n. 知識；學問；全部傳說；（動物的）眼光知識 n. (Lore)人名；(意)洛雷；(英)洛爾	Another large relic backed by lore is the Panagia Myrtidiotissa monastery, the largest in Cythera.			
herd 	[sound:youdao-30cad2ab-3d8246be-025917ea-08d0bb31-4df445eb.mp3]	[hɜːd]	n. 獸群，畜群；放牧人 vi. 成群，聚在一起 vt. 放牧；使成群 n. (Herd)人名；(英、芬)赫德	On a ridge a few miles away, we spot a herd of 40 grazing elk.			
